user_id,handle,coding_score,total_problems_solved,potd_longest_streak,profile_url
10903914,khushir1106,4223,1361,212,https://auth.geeksforgeeks.org/user/khushir1106/
3453500,fazeeljaffer,4181,1181,448,https://auth.geeksforgeeks.org/user/fazeeljaffer/
8987141,kailash018,3891,1219,662,https://auth.geeksforgeeks.org/user/kailash018/
3320579,xahoor72,3832,1206,110,https://auth.geeksforgeeks.org/user/xahoor72/
2696002,snowey,3597,1306,45,https://auth.geeksforgeeks.org/user/snowey/
3688286,rajagri1682003,3523,913,84,https://auth.geeksforgeeks.org/user/rajagri1682003/
7135867,moinmairaj2340,3245,963,739,https://auth.geeksforgeeks.org/user/moinmairaj2340/
3525813,tariq123,3201,1117,104,https://auth.geeksforgeeks.org/user/tariq123/
5844863,kundanbth8538,3110,937,139,https://auth.geeksforgeeks.org/user/kundanbth8538/
8542646,aayushsoni424,3110,824,138,https://auth.geeksforgeeks.org/user/aayushsoni424/
3436177,kshubham767,3102,1035,139,https://auth.geeksforgeeks.org/user/kshubham767/
10988490,kundan202tlpm,2680,723,70,https://auth.geeksforgeeks.org/user/kundan202tlpm/
13206171,nizamisayeed,2368,630,520,https://auth.geeksforgeeks.org/user/nizamisayeed/
1212577,sanketbhagat,2356,645,194,https://auth.geeksforgeeks.org/user/sanketbhagat/
1818654,riru9899,2308,700,293,https://auth.geeksforgeeks.org/user/riru9899/
6493334,asrar,2296,699,128,https://auth.geeksforgeeks.org/user/asrar/
12469566,amancspuoi,2285,722,89,https://auth.geeksforgeeks.org/user/amancspuoi/
2809692,kapilvsansh,2271,849,19,https://auth.geeksforgeeks.org/user/kapilvsansh/
2612513,amaaniqbal786,2258,759,26,https://auth.geeksforgeeks.org/user/amaaniqbal786/
11018671,adi_476,2210,636,202,https://auth.geeksforgeeks.org/user/adi_476/
7011942,danishkalsi3,2118,692,10,https://auth.geeksforgeeks.org/user/danishkalsi3/
3359670,shubhamsingh7253192,2073,589,57,https://auth.geeksforgeeks.org/user/shubhamsingh7253192/
14135505,saqibtskbq,2045,579,273,https://auth.geeksforgeeks.org/user/saqibtskbq/
4259575,pshukla0542,1963,529,100,https://auth.geeksforgeeks.org/user/pshukla0542/
6538846,tusharverma0101,1914,546,483,https://auth.geeksforgeeks.org/user/tusharverma0101/
6875881,nikita890,1897,497,1,https://auth.geeksforgeeks.org/user/nikita890/
12045299,kamran1bkza,1880,553,119,https://auth.geeksforgeeks.org/user/kamran1bkza/
1610327,sauravshailesh1936,1866,568,5,https://auth.geeksforgeeks.org/user/sauravshailesh1936/
12820015,rahulkundan,1844,544,167,https://auth.geeksforgeeks.org/user/rahulkundan/
4059879,palshubham25,1842,576,166,https://auth.geeksforgeeks.org/user/palshubham25/
14071122,lokit05,1804,517,468,https://auth.geeksforgeeks.org/user/lokit05/
13612381,sumit_3637,1764,487,340,https://auth.geeksforgeeks.org/user/sumit_3637/
2825048,kumaraashish57627,1722,504,41,https://auth.geeksforgeeks.org/user/kumaraashish57627/
1836522,harvey2001,1707,541,109,https://auth.geeksforgeeks.org/user/harvey2001/
7352424,itsmeneo0007,1678,497,25,https://auth.geeksforgeeks.org/user/itsmeneo0007/
9564630,sumit2011,1613,482,91,https://auth.geeksforgeeks.org/user/sumit2011/
3643477,harshkumawat5,1600,465,78,https://auth.geeksforgeeks.org/user/harshkumawat5/
2959293,its_harshraj,1599,469,164,https://auth.geeksforgeeks.org/user/its_harshraj/
6111173,rahul_singh_053,1585,519,91,https://auth.geeksforgeeks.org/user/rahul_singh_053/
9575951,vishalshaaqh5,1565,528,18,https://auth.geeksforgeeks.org/user/vishalshaaqh5/
4505225,daivikstar,1555,487,22,https://auth.geeksforgeeks.org/user/daivikstar/
11155630,adityapeuy,1529,396,330,https://auth.geeksforgeeks.org/user/adityapeuy/
11498518,owais_fayaz17,1527,458,1,https://auth.geeksforgeeks.org/user/owais_fayaz17/
408701,codebug,1500,475,1,https://auth.geeksforgeeks.org/user/codebug/
13231882,ssnda4r1v,1440,402,260,https://auth.geeksforgeeks.org/user/ssnda4r1v/
3269403,eguturisai26,1428,434,120,https://auth.geeksforgeeks.org/user/eguturisai26/
4454841,cartuun,1384,432,11,https://auth.geeksforgeeks.org/user/cartuun/
8267436,pathakganesh60,1371,352,145,https://auth.geeksforgeeks.org/user/pathakganesh60/
230166,bahubali47,1369,418,,https://auth.geeksforgeeks.org/user/bahubali47/
4549398,ravikantgupta676,1365,440,41,https://auth.geeksforgeeks.org/user/ravikantgupta676/
17114773,sahilmadaan_gfg,1363,370,173,https://auth.geeksforgeeks.org/user/sahilmadaan_gfg/
79876,Infinty,1344,705,0,https://auth.geeksforgeeks.org/user/Infinty/
12294015,saminbashir,1340,403,87,https://auth.geeksforgeeks.org/user/saminbashir/
5511965,soniasingh,1319,397,242,https://auth.geeksforgeeks.org/user/soniasingh/
7496140,vislavathpavani5123,1318,370,61,https://auth.geeksforgeeks.org/user/vislavathpavani5123/
9694060,shilpikaushik,1305,418,1,https://auth.geeksforgeeks.org/user/shilpikaushik/
3344761,parrayyasir6,1296,416,30,https://auth.geeksforgeeks.org/user/parrayyasir6/
2783286,whatusername1,1292,663,3,https://auth.geeksforgeeks.org/user/whatusername1/
4012822,ashish4277,1286,461,14,https://auth.geeksforgeeks.org/user/ashish4277/
4059878,palbro107,1273,385,165,https://auth.geeksforgeeks.org/user/palbro107/
8427496,naveen96677,1240,359,238,https://auth.geeksforgeeks.org/user/naveen96677/
4709753,anurag_8,1236,362,0,https://auth.geeksforgeeks.org/user/anurag_8/
2924415,princekgarg,1235,385,35,https://auth.geeksforgeeks.org/user/princekgarg/
3084488,ashiqhussainkumar143,1219,400,1,https://auth.geeksforgeeks.org/user/ashiqhussainkumar143/
6005413,psychic_demon,1219,380,11,https://auth.geeksforgeeks.org/user/psychic_demon/
2793898,unknownsingh,1206,382,83,https://auth.geeksforgeeks.org/user/unknownsingh/
4217535,uchiha__madara,1201,357,97,https://auth.geeksforgeeks.org/user/uchiha__madara/
5893217,jamee_bashir,1196,416,27,https://auth.geeksforgeeks.org/user/jamee_bashir/
10065224,abinashkpcdu,1179,330,4,https://auth.geeksforgeeks.org/user/abinashkpcdu/
11202905,sourav2003symj9,1174,310,203,https://auth.geeksforgeeks.org/user/sourav2003symj9/
9201913,789vanraj,1166,375,170,https://auth.geeksforgeeks.org/user/789vanraj/
2019666,sukratisaxena8,1161,455,2,https://auth.geeksforgeeks.org/user/sukratisaxena8/
1591088,neerajjkk,1155,333,41,https://auth.geeksforgeeks.org/user/neerajjkk/
5409883,stackpusher,1154,383,17,https://auth.geeksforgeeks.org/user/stackpusher/
10606915,dksoniieu,1129,307,44,https://auth.geeksforgeeks.org/user/dksoniieu/
5819555,uselesscoder000,1126,370,44,https://auth.geeksforgeeks.org/user/uselesscoder000/
1582000,pulgul,1124,429,,https://auth.geeksforgeeks.org/user/pulgul/
6710970,ankurtiwari502,1104,460,8,https://auth.geeksforgeeks.org/user/ankurtiwari502/
3040174,ps2020nitsri,1098,381,,https://auth.geeksforgeeks.org/user/ps2020nitsri/
15126559,ujjwaldi152j,1095,294,104,https://auth.geeksforgeeks.org/user/ujjwaldi152j/
8777748,its_abhay,1082,331,35,https://auth.geeksforgeeks.org/user/its_abhay/
11314723,rahulkumakmaw,1082,322,67,https://auth.geeksforgeeks.org/user/rahulkumakmaw/
16468480,suramyamhz1v,1074,281,27,https://auth.geeksforgeeks.org/user/suramyamhz1v/
6656095,abdulmuqsitzargar01,1042,395,4,https://auth.geeksforgeeks.org/user/abdulmuqsitzargar01/
1684659,v0rt3x,1024,336,6,https://auth.geeksforgeeks.org/user/v0rt3x/
4161338,syedfurqan2001,1011,264,,https://auth.geeksforgeeks.org/user/syedfurqan2001/
10695500,towqeer,1009,358,1,https://auth.geeksforgeeks.org/user/towqeer/
7064232,moinzargar,1005,325,1,https://auth.geeksforgeeks.org/user/moinzargar/
3275379,malikmuzzammilrafiq,989,351,9,https://auth.geeksforgeeks.org/user/malikmuzzammilrafiq/
10547535,pranjalvnsdr,986,289,1,https://auth.geeksforgeeks.org/user/pranjalvnsdr/
4442788,its_rahul,984,356,38,https://auth.geeksforgeeks.org/user/its_rahul/
149678,Inqalab,979,332,,https://auth.geeksforgeeks.org/user/Inqalab/
290443,100iq,973,344,1,https://auth.geeksforgeeks.org/user/100iq/
2516947,ravindranadhvarmag,957,324,4,https://auth.geeksforgeeks.org/user/ravindranadhvarmag/
624648,97_Kh,951,411,2,https://auth.geeksforgeeks.org/user/97_Kh/
16141804,sometime3pfp,947,258,207,https://auth.geeksforgeeks.org/user/sometime3pfp/
3323862,shuvampargal,945,407,47,https://auth.geeksforgeeks.org/user/shuvampargal/
5070151,namitarastogimwn,944,255,75,https://auth.geeksforgeeks.org/user/namitarastogimwn/
637403,KirtiGupta3,936,380,5,https://auth.geeksforgeeks.org/user/KirtiGupta3/
2865836,burhanaijaz2,933,322,68,https://auth.geeksforgeeks.org/user/burhanaijaz2/
3314117,muzaffarbhat,931,302,1,https://auth.geeksforgeeks.org/user/muzaffarbhat/
6553391,sahibahmed998,922,279,54,https://auth.geeksforgeeks.org/user/sahibahmed998/
11292458,jesse_prabhakar_komarapu,922,230,92,https://auth.geeksforgeeks.org/user/jesse_prabhakar_komarapu/
3915199,anishajaygupta21,916,281,11,https://auth.geeksforgeeks.org/user/anishajaygupta21/
2382842,imretsam,915,306,6,https://auth.geeksforgeeks.org/user/imretsam/
9418673,esg_08_17,912,347,7,https://auth.geeksforgeeks.org/user/esg_08_17/
816517,_nick_123,907,277,,https://auth.geeksforgeeks.org/user/_nick_123/
10700729,sk07singh,903,287,55,https://auth.geeksforgeeks.org/user/sk07singh/
9488203,sharmaarun642001,899,232,65,https://auth.geeksforgeeks.org/user/sharmaarun642001/
13581302,arpitpateibu5,883,282,66,https://auth.geeksforgeeks.org/user/arpitpateibu5/
8278355,anvi27,877,279,46,https://auth.geeksforgeeks.org/user/anvi27/
10423251,harshil090,873,290,19,https://auth.geeksforgeeks.org/user/harshil090/
3695293,steverogers3060,871,268,1,https://auth.geeksforgeeks.org/user/steverogers3060/
2391731,ravishh,860,283,3,https://auth.geeksforgeeks.org/user/ravishh/
3752624,usaid_aijaz,857,303,17,https://auth.geeksforgeeks.org/user/usaid_aijaz/
1579889,unknownladyme,849,272,1,https://auth.geeksforgeeks.org/user/unknownladyme/
12752347,krnmahesh839k,847,254,53,https://auth.geeksforgeeks.org/user/krnmahesh839k/
21256419,ayashakb00,830,239,,https://auth.geeksforgeeks.org/user/ayashakb00/
3139268,ashwani312002,825,305,6,https://auth.geeksforgeeks.org/user/ashwani312002/
668492,singhsaurabhh,819,349,1,https://auth.geeksforgeeks.org/user/singhsaurabhh/
3322720,harisrashid4121203,818,252,4,https://auth.geeksforgeeks.org/user/harisrashid4121203/
3033052,amansbnitcse,817,239,5,https://auth.geeksforgeeks.org/user/amansbnitcse/
1607119,proffesor,796,322,4,https://auth.geeksforgeeks.org/user/proffesor/
14916866,abhijeetkumae92h,795,211,117,https://auth.geeksforgeeks.org/user/abhijeetkumae92h/
8121782,julyanurag,794,221,13,https://auth.geeksforgeeks.org/user/julyanurag/
6741379,onlyimportant4u,790,225,41,https://auth.geeksforgeeks.org/user/onlyimportant4u/
3978863,nickoo,788,302,3,https://auth.geeksforgeeks.org/user/nickoo/
437964,NaqeebRahman,783,250,,https://auth.geeksforgeeks.org/user/NaqeebRahman/
2486159,zeu04,783,387,1,https://auth.geeksforgeeks.org/user/zeu04/
8415109,princekverma0702,782,228,119,https://auth.geeksforgeeks.org/user/princekverma0702/
1259351,crediblebilal,781,238,,https://auth.geeksforgeeks.org/user/crediblebilal/
2250435,vermashid,755,258,,https://auth.geeksforgeeks.org/user/vermashid/
1619447,snebae,754,317,1,https://auth.geeksforgeeks.org/user/snebae/
626729,Dazzler99,741,328,0,https://auth.geeksforgeeks.org/user/Dazzler99/
4443994,yashshukla313,732,284,1,https://auth.geeksforgeeks.org/user/yashshukla313/
1669580,rahulgangwar8954,725,381,,https://auth.geeksforgeeks.org/user/rahulgangwar8954/
2809744,mohithnc456,724,213,96,https://auth.geeksforgeeks.org/user/mohithnc456/
5303061,gautamatulkumar597,723,249,39,https://auth.geeksforgeeks.org/user/gautamatulkumar597/
4148646,zcawanish25,711,270,1,https://auth.geeksforgeeks.org/user/zcawanish25/
12527839,deepak2022bcse035,701,216,36,https://auth.geeksforgeeks.org/user/deepak2022bcse035/
13185266,shivamkumarsigdd,687,192,7,https://auth.geeksforgeeks.org/user/shivamkumarsigdd/
2265179,kourmandeep174,684,221,2,https://auth.geeksforgeeks.org/user/kourmandeep174/
1414844,mauryask1732,678,214,3,https://auth.geeksforgeeks.org/user/mauryask1732/
4103715,rishiraj147r,672,201,9,https://auth.geeksforgeeks.org/user/rishiraj147r/
9086488,dinesh_2024,666,216,32,https://auth.geeksforgeeks.org/user/dinesh_2024/
199531,gauravv,660,273,,https://auth.geeksforgeeks.org/user/gauravv/
1753621,hellopresent,660,297,,https://auth.geeksforgeeks.org/user/hellopresent/
2634639,rakshitgupta621,655,261,1,https://auth.geeksforgeeks.org/user/rakshitgupta621/
17168041,dhruvbanj34w,651,213,103,https://auth.geeksforgeeks.org/user/dhruvbanj34w/
11141692,darshana02kyq,650,209,24,https://auth.geeksforgeeks.org/user/darshana02kyq/
3318844,champalaljdh2020,647,227,1,https://auth.geeksforgeeks.org/user/champalaljdh2020/
15943715,choudharysdxyr,646,169,107,https://auth.geeksforgeeks.org/user/choudharysdxyr/
3336020,marina07,631,238,2,https://auth.geeksforgeeks.org/user/marina07/
2567908,aymn,626,189,32,https://auth.geeksforgeeks.org/user/aymn/
10479296,haseebmushtaq,623,211,2,https://auth.geeksforgeeks.org/user/haseebmushtaq/
1520184,lonely_,619,341,3,https://auth.geeksforgeeks.org/user/lonely_/
13608050,chandraprakoas9,618,181,48,https://auth.geeksforgeeks.org/user/chandraprakoas9/
1420673,enter,617,184,19,https://auth.geeksforgeeks.org/user/enter/
4675208,piyushraj249,611,245,1,https://auth.geeksforgeeks.org/user/piyushraj249/
7109961,sainipawan1711,606,292,2,https://auth.geeksforgeeks.org/user/sainipawan1711/
2411281,priyankakri1310,603,210,23,https://auth.geeksforgeeks.org/user/priyankakri1310/
10443234,mridulrv11,602,212,0,https://auth.geeksforgeeks.org/user/mridulrv11/
2668573,verma01,598,199,1,https://auth.geeksforgeeks.org/user/verma01/
22674706,harshitk9sg7,595,188,0,https://auth.geeksforgeeks.org/user/harshitk9sg7/
10729047,abhaygargjhwxf,591,163,38,https://auth.geeksforgeeks.org/user/abhaygargjhwxf/
21554934,bhumikat2oi,588,186,1,https://auth.geeksforgeeks.org/user/bhumikat2oi/
1566867,ankityadav770587,585,207,8,https://auth.geeksforgeeks.org/user/ankityadav770587/
12477790,jesseprabhayyqm,584,149,47,https://auth.geeksforgeeks.org/user/jesseprabhayyqm/
12477833,jesseprabhacebo,584,148,47,https://auth.geeksforgeeks.org/user/jesseprabhacebo/
863549,Randhir__,581,313,0,https://auth.geeksforgeeks.org/user/Randhir__/
4300257,pratyakshsaini745,579,171,57,https://auth.geeksforgeeks.org/user/pratyakshsaini745/
